City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chuy,UY,-33.6971,-53.4616,70.11,81,16,12.12,few clouds
1,Lebu,CL,-37.6167,-73.65,60.03,71,27,12.59,scattered clouds
2,Cape Town,ZA,-33.9258,18.4232,66.0,88,0,17.27,clear sky
3,Kavieng,PG,-2.5744,150.7967,79.38,81,96,6.46,moderate rain
4,Hargeysa,SO,9.56,44.065,66.81,76,23,7.25,few clouds
5,Touros,BR,-5.1989,-35.4608,80.6,78,20,10.36,few clouds
6,Padang,ID,-0.9492,100.3543,73.4,94,90,2.3,overcast clouds
7,Bathsheba,BB,13.2167,-59.5167,82.4,57,20,12.66,few clouds
8,Bethel,US,41.3712,-73.414,60.8,25,1,13.8,clear sky
9,Killybegs,IE,54.6333,-8.45,46.4,100,90,19.57,overcast clouds
10,Iralaya,HN,15.0,-83.2333,73.4,100,90,13.8,overcast clouds
11,Nanortalik,GL,60.1432,-45.2371,34.95,88,18,7.56,few clouds
12,Punta Arenas,CL,-53.15,-70.9167,46.4,61,40,19.57,scattered clouds
13,Albany,US,42.6001,-73.9662,60.01,25,51,5.99,broken clouds
14,Castro,BR,-24.7911,-50.0119,63.93,80,45,8.3,scattered clouds
15,Dingle,PH,10.9995,122.6711,74.59,87,96,7.25,overcast clouds
16,Rikitea,PF,-23.1203,-134.9692,77.52,68,79,17.49,broken clouds
17,Vaini,TO,-21.2,-175.2,78.8,89,20,10.36,few clouds
18,Furstenwalde,DE,52.3667,14.0667,43.0,66,41,5.01,scattered clouds
19,Ushuaia,AR,-54.8,-68.3,44.6,70,75,24.16,broken clouds
20,Dikson,RU,73.5069,80.5464,8.04,89,100,7.18,overcast clouds
21,Teya,RU,60.3778,92.6267,33.08,97,100,6.53,overcast clouds
22,Pevek,RU,69.7008,170.3133,-10.46,95,97,9.35,overcast clouds
23,Portland,US,45.5234,-122.6762,55.99,41,75,9.22,broken clouds
24,Poya,NC,-21.35,165.15,76.44,69,63,6.49,broken clouds
25,Ulaanbaatar,MN,47.9077,106.8832,21.2,73,0,2.57,clear sky
26,Leningradskiy,RU,69.3833,178.4167,3.02,90,100,5.08,overcast clouds
27,Pacific Grove,US,36.6177,-121.9166,60.01,58,1,12.66,clear sky
28,Upernavik,GL,72.7868,-56.1549,-10.59,87,32,12.44,scattered clouds
29,Butaritari,KI,3.0707,172.7902,82.06,79,94,16.17,overcast clouds
30,Anyama,CI,5.4946,-4.0518,84.2,89,20,10.36,few clouds
31,Bowen,AU,-20.0167,148.2333,73.4,94,90,3.44,light rain
32,Ostrovnoy,RU,68.0531,39.5131,32.22,90,100,16.8,overcast clouds
33,Pisco,PE,-13.7,-76.2167,77.0,65,0,11.5,clear sky
34,Port Elizabeth,ZA,-33.918,25.5701,66.2,88,90,12.66,overcast clouds
35,Cidreira,BR,-30.1811,-50.2056,73.0,76,6,17.45,clear sky
36,Seddon,AU,-37.8068,144.8916,62.01,63,90,8.05,overcast clouds
37,Avarua,CK,-21.2078,-159.775,84.2,79,75,19.57,light rain
38,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,85,90,17.27,snow
39,Hermanus,ZA,-34.4187,19.2345,64.99,92,96,1.01,light rain
40,Moose Factory,CA,51.2585,-80.6094,35.6,75,1,12.66,clear sky
41,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.8,73,75,13.8,broken clouds
42,Mataura,NZ,-46.1927,168.8643,53.01,91,98,11.99,overcast clouds
43,Sarahan,IN,31.5167,77.8,46.94,75,100,4.9,overcast clouds
44,Hilo,US,19.7297,-155.09,78.8,61,90,3.44,overcast clouds
45,Muros,ES,42.7762,-9.0603,59.0,58,4,5.01,clear sky
46,General Pico,AR,-35.6566,-63.7568,81.05,41,12,9.86,few clouds
47,Mar Del Plata,AR,-38.0023,-57.5575,71.01,94,0,14.97,clear sky
48,Souillac,MU,-20.5167,57.5167,81.0,77,32,7.0,light rain
49,Emba,KZ,48.8264,58.1442,36.34,91,91,7.56,overcast clouds
50,Umm Lajj,SA,25.0213,37.2685,74.28,42,0,10.04,clear sky
51,Buncrana,IE,55.1333,-7.45,42.42,68,100,22.57,overcast clouds
52,Bonfim,BR,3.0833,-59.95,87.8,66,20,11.5,moderate rain
53,Constitucion,CL,-35.3333,-72.4167,61.68,71,13,7.49,few clouds
54,Atuona,PF,-9.8,-139.0333,80.71,80,59,10.11,broken clouds
55,Caravelas,BR,-17.7125,-39.2481,77.38,76,68,8.05,broken clouds
56,Carnarvon,AU,-24.8667,113.6333,75.2,83,12,16.11,few clouds
57,Tiznit,MA,29.5833,-9.5,55.51,77,1,4.16,clear sky
58,Sao Domingos,BR,-13.3983,-46.3183,82.71,46,88,2.57,overcast clouds
59,Richards Bay,ZA,-28.783,32.0377,64.87,80,0,4.47,clear sky
60,Kapaa,US,22.0752,-159.319,78.8,53,75,17.27,broken clouds
61,Yellowknife,CA,62.456,-114.3525,26.01,46,1,5.75,clear sky
62,Georgetown,MY,5.4112,100.3354,84.0,89,20,3.47,few clouds
63,Machacamarca,BO,-18.1667,-67.0333,51.58,56,93,0.34,overcast clouds
64,Chokurdakh,RU,70.6333,147.9167,-25.94,100,53,4.81,broken clouds
65,Konibodom,TJ,40.2843,70.4426,48.2,76,90,11.18,overcast clouds
66,Camacha,PT,33.0833,-16.3333,60.8,72,20,2.3,few clouds
67,Mahebourg,MU,-20.4081,57.7,81.0,77,42,7.0,scattered clouds
68,Sinnamary,GF,5.3833,-52.95,78.28,86,99,9.24,overcast clouds
69,Busselton,AU,-33.65,115.3333,62.01,91,1,1.19,clear sky
70,Nabire,ID,-3.3667,135.4833,74.23,90,64,3.13,broken clouds
71,Olafsvik,IS,64.8945,-23.7142,19.53,52,100,14.25,overcast clouds
72,Saskylakh,RU,71.9167,114.0833,-26.88,100,23,3.76,few clouds
73,Vardo,NO,70.3705,31.1107,36.25,89,100,18.39,overcast clouds
74,Toamasina,MG,-18.1667,49.3833,75.2,94,20,5.55,few clouds
75,Nikolskoye,RU,59.7035,30.7861,39.0,81,0,6.71,clear sky
76,Cuamba,MZ,-14.8031,36.5372,66.6,97,16,2.66,few clouds
77,Alofi,NU,-19.0595,-169.9187,82.4,78,99,10.36,overcast clouds
78,Taua,BR,-5.9667,-40.3,81.93,52,99,9.69,overcast clouds
79,Nishihara,JP,26.1842,127.7558,66.2,59,75,19.57,broken clouds
80,Torbay,CA,47.6666,-52.7314,42.01,100,90,11.5,light intensity drizzle
81,Bisira,PA,8.5196,-81.7115,68.5,66,81,9.15,broken clouds
82,Magadan,RU,59.5667,150.8,13.26,73,100,8.32,overcast clouds
83,Barrow,US,71.2906,-156.7887,-4.0,65,1,14.97,clear sky
84,Khorixas,NA,-20.3667,14.9667,80.17,37,58,7.87,broken clouds
85,Praia,CV,14.9215,-23.5087,77.0,57,0,17.27,clear sky
86,Boysun,UZ,38.2061,67.1986,39.76,79,25,5.39,scattered clouds
87,Businga,CD,3.3333,20.8833,76.68,73,85,3.24,overcast clouds
88,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,78,40,4.61,scattered clouds
89,Okuchi,JP,32.0667,130.6167,50.0,93,40,6.91,scattered clouds
90,Saint Anthony,US,45.0205,-93.218,75.2,23,1,6.91,clear sky
91,Tigil,RU,57.8,158.6667,22.84,89,100,3.11,overcast clouds
92,New Norfolk,AU,-42.7826,147.0587,55.0,68,55,4.0,broken clouds
93,Tura,IN,25.5198,90.2201,68.95,42,67,1.48,broken clouds
94,Japura,ID,-0.3167,102.35,75.2,88,100,2.62,overcast clouds
95,Mabaruma,GY,8.2,-59.7833,74.26,97,100,1.77,overcast clouds
96,Port Shepstone,ZA,-30.7414,30.455,66.92,80,0,4.99,clear sky
97,Comodoro Rivadavia,AR,-45.8667,-67.5,80.6,26,0,13.8,clear sky
98,Hithadhoo,MV,-0.6,73.0833,83.3,73,92,18.03,overcast clouds
99,Clyde River,CA,70.4692,-68.5914,-11.2,77,1,9.22,clear sky
100,Grindavik,IS,63.8424,-22.4338,17.6,53,75,13.8,broken clouds
101,Qaanaaq,GL,77.484,-69.3632,-12.1,67,26,6.29,scattered clouds
102,Tual,ID,-5.6667,132.75,83.57,70,74,4.47,broken clouds
103,Srandakan,ID,-7.9386,110.2506,76.08,90,100,4.03,overcast clouds
104,East London,ZA,-33.0153,27.9116,66.9,73,1,12.91,clear sky
105,Hohoe,GH,7.1518,0.4736,80.15,76,52,5.26,broken clouds
106,Leirvik,NO,59.7798,5.5005,30.99,78,89,4.0,light snow
107,Yakeshi,CN,49.2833,120.7333,34.93,65,92,13.0,overcast clouds
108,Tawang,IN,27.5833,91.8667,36.84,63,81,5.7,broken clouds
109,Vila Velha,BR,-20.3297,-40.2925,78.8,73,40,12.66,scattered clouds
110,Ancud,CL,-41.8697,-73.8203,64.0,72,0,10.36,clear sky
111,Ribeira Grande,PT,38.5167,-28.7,60.8,94,75,17.27,broken clouds
112,Saint-Philippe,RE,-21.3585,55.7679,78.8,78,0,6.91,clear sky
113,Beaverlodge,CA,55.2166,-119.4361,44.6,57,40,13.8,scattered clouds
114,Bambous Virieux,MU,-20.3428,57.7575,81.0,77,52,7.0,broken clouds
115,Gat,IL,31.61,34.7642,59.0,81,0,6.96,clear sky
116,Yerbogachen,RU,61.2767,108.0108,-20.06,100,94,2.84,overcast clouds
117,Homer,US,59.6425,-151.5483,39.2,87,90,10.36,light rain
118,Kalachinsk,RU,55.0529,74.5751,30.45,80,100,12.62,overcast clouds
119,Arys,KZ,42.4252,68.795,48.2,87,75,8.95,broken clouds
120,Uyuni,BO,-20.4597,-66.825,58.01,33,100,14.88,overcast clouds
121,Tiksi,RU,71.6872,128.8694,-18.81,100,100,4.85,overcast clouds
122,Vestmanna,FO,62.1564,-7.1664,24.8,50,75,37.98,mist
123,Kokoda,PG,-8.8785,147.7407,74.53,83,100,2.44,overcast clouds
124,Marfino,RU,55.7028,37.3822,34.0,75,0,6.71,clear sky
125,Severo-Kurilsk,RU,50.6789,156.125,29.01,85,92,14.23,overcast clouds
126,Lorengau,PG,-2.0226,147.2712,80.31,80,100,1.54,overcast clouds
127,Nardaran,AZ,40.5561,50.0056,51.8,87,0,9.22,clear sky
