City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kamenka,RU,2021-04-02 16:48:54,51.3223,42.7678,46.0,70,64,9.64
1,Tauranga,NZ,2021-04-02 16:48:55,-37.6861,176.1667,61.0,75,100,1.99
2,Hasaki,JP,2021-04-02 16:48:55,35.7333,140.8333,53.6,76,40,4.61
3,Punta Arenas,CL,2021-04-02 16:48:55,-53.15,-70.9167,50.0,66,0,16.11
4,Vao,NC,2021-04-02 16:48:56,-22.6667,167.4833,74.25,89,100,30.36
5,Balaipungut,ID,2021-04-02 16:48:56,1.05,101.2833,78.8,73,20,9.22
6,Saint-Philippe,RE,2021-04-02 16:48:56,-21.3585,55.7679,77.0,83,20,18.41
7,Ushuaia,AR,2021-04-02 16:48:57,-54.8,-68.3,50.0,71,40,4.61
8,San Jeronimo,PE,2021-04-02 16:48:57,-11.9472,-75.2829,56.98,63,99,1.59
9,Santa Maria,BR,2021-04-02 16:46:03,-29.6842,-53.8069,78.8,57,20,13.8
10,Cabo San Lucas,MX,2021-04-02 16:44:00,22.8909,-109.9124,84.2,26,20,8.43
11,Yellowknife,CA,2021-04-02 16:45:16,62.456,-114.3525,6.01,78,90,5.75
12,Fortuna,US,2021-04-02 16:48:58,40.5982,-124.1573,48.0,87,90,3.71
13,Inongo,CD,2021-04-02 16:48:58,-1.95,18.2667,74.28,90,75,4.72
14,Butaritari,KI,2021-04-02 16:48:58,3.0707,172.7902,81.18,81,22,17.63
15,Ponta Do Sol,PT,2021-04-02 16:48:59,32.6667,-17.1,64.99,63,49,5.99
16,Tual,ID,2021-04-02 16:48:59,-5.6667,132.75,82.9,75,94,7.45
17,Sorland,NO,2021-04-02 16:48:59,67.667,12.6934,35.6,69,75,17.27
18,Bredasdorp,ZA,2021-04-02 16:49:00,-34.5322,20.0403,68.0,52,90,9.22
19,Rikitea,PF,2021-04-02 16:49:00,-23.1203,-134.9692,76.91,78,91,11.39
20,Tuktoyaktuk,CA,2021-04-02 16:49:00,69.4541,-133.0374,-25.6,75,75,3.44
21,Talnakh,RU,2021-04-02 16:49:01,69.4865,88.3972,-12.5,78,30,6.13
22,Chuy,UY,2021-04-02 16:49:01,-33.6971,-53.4616,73.24,54,56,8.66
23,Mataura,NZ,2021-04-02 16:49:01,-46.1927,168.8643,38.1,97,54,2.24
24,Salalah,OM,2021-04-02 16:49:02,17.0151,54.0924,82.4,78,0,5.75
25,Hobart,AU,2021-04-02 16:45:57,-42.8794,147.3294,62.6,67,21,17.27
26,Rosarito,MX,2021-04-02 16:44:23,32.3333,-117.0333,62.6,77,1,6.91
27,Beni Suef,EG,2021-04-02 16:49:03,29.0731,31.0979,65.43,33,4,8.12
28,Hithadhoo,MV,2021-04-02 16:49:03,-0.6,73.0833,83.73,77,24,20.09
29,Geraldton,AU,2021-04-02 16:49:03,-28.7667,114.6,73.4,88,75,6.91
30,Iqaluit,CA,2021-04-02 16:49:04,63.7506,-68.5145,-11.0,64,20,2.3
31,East London,ZA,2021-04-02 16:49:04,-33.0153,27.9116,62.6,94,75,16.11
32,Doha,QA,2021-04-02 16:49:04,25.2867,51.5333,84.99,42,0,2.3
33,Salima,MW,2021-04-02 16:49:05,-13.7804,34.4587,70.23,82,6,2.28
